MetricID,MetricLabel,Definition,Formula,Source,Dimension,MetricType
no-inconsistencies-in-spatial-data,no inconsistencies in spatial data,Through semantic and geometric constraints.,NULL,Zaveri,consistency,quantitative
correct-domain-and-range,correct domain and range,"Deﬁnition the attribution of a resource’s property (with a certain value) is only valid if the resource (domain), value (range) or literal value (rdfs ranged) is of a certain type – detected by use of SPARQL queries as a constraint.",NULL,Zaveri,consistency,quantitative
no-inconsistent-values,no inconsistent values,Detection by the generation of a particular set of schema axioms for all properties in a dataset and the manual veriﬁcation of these axioms.,NULL,Zaveri,consistency,quantitative
high-intensional-conciseness,high intensional conciseness,No. of unique properties/classes of a dataset total no. of properties/classes in a target schema.,NULL,Zaveri,conciseness,quantitative
high-extensional-conciseness,high extensional conciseness,"No. of unique objects of a dataset total number of objects representations in the dataset, (ii) 1 −total no. of instances that violate the uniqueness rule total no. of relevant instances.",NULL,Zaveri,conciseness,quantitative
usage-of-unambiguous-annotations-labels,usage of unambiguous annotations/labels,1 − no. of ambiguous instances no. of instances contained in the semantic metadata set.,NULL,Zaveri,conciseness,quantitative
schema-completeness,schema completeness,No. of classes and properties represented total no. of classes and properties.,NULL,Zaveri,completeness,quantitative
property-completeness,property completeness,"No. of values represented for a speciﬁc property total no. of values for a speciﬁc property, (ii) exploiting statistical distributions of properties and types to characterize the property and then detect completeness.",NULL,Zaveri,completeness,quantitative
population-completeness,population completeness,No. of real-world objects are represented total no. of real-world objects.,NULL,Zaveri,completeness,quantitative
interlinking-completeness,interlinking completeness,"No. of instances in the dataset that are interlinked total no. of instances in a dataset, (ii) calculating percentage of mappable types in a datasets that have not yet been considered in the linksets when assuming an alignment among types.",NULL,Zaveri,completeness,quantitative
relevant-terms-within-metainformation-attributes,relevant terms within metainformation attributes,"Obtaining relevant data by (i) ranking (a numerical value similar to PageRank), which determines the centrality of RDF documents and statements, (ii) via crowdsourcing.",NULL,Zaveri,relevancy,quantitative
coverage,coverage,Measuring the coverage (i.e. number of entities described in a dataset) and level of detail (i.e. number of properties) in a dataset to ensure that the data retrieved is appropriate for the task at hand.,NULL,Zaveri,relevancy,quantitative
trustworthiness-of-statements,trustworthiness of statements,"Computing statement trust values based on: (i) provenance information which can be either unknown or a value in the interval [−1,1] where 1: absolute belief, −1: absolute disbelief and 0: lack of belief/ disbelief (ii) opinion-based method, which use trust annotations made by several individuals (iii) provenance information and trust annotations in Semantic Web-based social-networks (iv) annotating triples with provenance data and usage of provenance history to evaluate the trustworthiness of facts.",NULL,Zaveri,trustworthiness,qualitative
trustworthiness-through-reasoning,trustworthiness through reasoning,Using annotations for data to encode two facets of information: (i) blacklists (indicates that the referent data is known to be harmful) (ii) authority (a boolean value which uses the Linked Data principles to conservatively determine whether or not information can be trusted).,NULL,Zaveri,trustworthiness,quantitative
trustworthiness-of-statements-datasets-and-rules,"trustworthiness of statements, datasets and rules","Using trust ontologies that assigns trust values that can be transferred from known to unknown data using: (i) content-based methods (from content or rules) and (ii) metadata-based methods (based on reputation assignments, user ratings, and provenance, rather than the content itself).",NULL,Zaveri,trustworthiness,quantitative
trustworthiness-of-a-resource,trustworthiness of a resource,"Computing trust values between two entities through a path by using: (i) a propagation algorithm based on statistical techniques (ii) in case there are several paths, trust values from all paths are aggregated based on a weighting mechanism.",NULL,Zaveri,trustworthiness,quantitative
trustworthiness-of-the-information-provider,trustworthiness of the information provider,Computing trustworthiness of the information provider by: (i) construction of decision networks informed by provenance graphs (ii) checking whether the provider/contributor is contained in a list of trusted providers.,NULL,Zaveri,trustworthiness,quantitative
trustworthiness-of-information-provided-content-trust,trustworthiness of information provided (content trust),Checking content trust based on associations (e.g. anything having a relationship to a resource such as author of the dataset) that transfers trust from content to resources.,NULL,Zaveri,trustworthiness,quantitative
reputation-of-the-dataset,reputation of the dataset,Assignment of explicit trust ratings to the dataset by humans or analyzing external links or page ranks.,NULL,Zaveri,trustworthiness,quantitative
human-readable-labelling-of-classes-properties-and-entities-as-well-as-presence-of-metadata,"human-readable labelling of classes, properties and entities as well as presence of metadata","Detection of human-readable labelling of classes, properties and entities as well as indication of metadata (e.g. name, description, website) of a dataset.",NULL,Zaveri,understandability,quantitative
indication-of-one-or-more-exemplary-uris,indication of one or more exemplary URIs,Detect whether the pattern of the URIs is provided.,NULL,Zaveri,understandability,quantitative
indication-of-a-regular-expression-that-matches-the-uris-of-a-dataset,indication of a regular expression that matches the URIs of a dataset,Detect whether a regular expression that matches the URIs is present.,NULL,Zaveri,understandability,quantitative
indication-of-an-exemplary-sparql-query,indication of an exemplary SPARQL query,Detect whether examples of SPARQL queries are provided.,NULL,Zaveri,understandability,quantitative
indication-of-the-vocabularies-used-in-the-dataset,indication of the vocabularies used in the dataset,Checking whether a list of vocabularies used in the dataset is provided.,NULL,Zaveri,understandability,quantitative
provision-of-message-boards-and-mailing-lists,provision of message boards and mailing lists,Checking the effectiveness and the efﬁciency of the usage of the mailing list and/or the message boards.,NULL,Zaveri,understandability,quantitative
freshness-of-datasets-based-on-currency-and-volatility,freshness of datasets based on currency and volatility,"Max  0, 1 −currency volatility , which gives a value in a continuous scale from 0 to 1, where score of 1 implies that the data is timely and 0 means it is completely outdated thus unacceptable. In the formula, volatility is the length of time the data remains valid and currency is the age of the data when delivered to the user.",NULL,Zaveri,timeliness,quantitative
freshness-of-datasets-based-on-their-data-source,freshness of datasets based on their data source,"Detecting freshness of datasets based on their data source by measuring the distance between last modiﬁed time of the data source and last modiﬁed time of the dataset QN – T3: using trust ontologies that assigns trust values that can be transferred from known to unknown data using: ∗(i) content-based methods (from content or rules) and ∗(ii) metadata-based methods (based on reputation assignments, user ratings, and provenance, rather than the content itself) – T4: computing trust values between two entities through a path by using: ∗(i) a propagation algorithm based on statistical techniques ∗(ii) in case there are several paths, trust values from all paths are aggregated based on a weighting mechanism – T5: computing trustworthiness of the information provider by: ∗(i) construction of decision networks informed by provenance graphs ∗(ii) checking whether the provider/contributor is contained in a list of trusted providers ∗(iii) indicating the level of trust for the publisher on a scale of 1–9 – T6: checking content trust24 based on associations (e.g. anything having a relationship to a resource such as author of the dataset) that transfer trust from content to resources – T7: assignment of explicit trust ratings to the dataset by humans or analyzing external links or page ranks 24Content trust is a trust judgement on a particular piece of information in a given context. Example. In our ﬂight search engine use case, if the ﬂight information is provided by trusted and wellknown airlines then a user is more likely to trust the information than when it is provided by an unknown travel agency. Generally information about a product or service (e.g. a ﬂight) can be trusted when it is directly published by the producer or service provider (e.g. the airline). On the other hand, if a user retrieves information from a previously unknown source, she can decide whether to believe this information by checking whether the source is well-known or if it is contained in a list of trusted providers. 4.3.3. Understandability Flemming related understandability to the comprehensibility of data i.e. the ease with which human consumers can understand and utilize the data. Thus, comprehensibility can be interchangeably used with understandability. Hogan et al. speciﬁed the importance of providing human-readable metadata “for allowing users to visualize, browse and understand RDF data, where providing labels and descriptions establishes a baseline”. Feeney et al. provide a metric for this dimension. Deﬁnition 13 (Understandability). Understandability refers to the ease with which data can be comprehended without ambiguity and be used by a human information consumer. Metrics. The metrics identiﬁed for understandability are: – U1: detection of human-readable labelling of classes, properties and entities as well as indication of metadata (e.g. name, description, website) of a dataset – U2: detect whether the pattern of the URIs is provided.",NULL,Zaveri,timeliness,qualitative
keeping-uris-short,keeping URIs short,Detection of long URIs or those that contain query parameters.,NULL,Zaveri,representationalConciseness,quantitative
no-use-of-prolix-rdf-features,no use of prolix RDF features,"Detection of RDF primitives i.e. RDF reiﬁcation, RDF containers and RDF collections.",NULL,Zaveri,representationalConciseness,quantitative
re-use-of-existing-terms,re-use of existing terms,Detection of whether existing terms from all relevant vocabularies for that particular domain have been reused.,NULL,Zaveri,interoperability,quantitative
re-use-of-existing-vocabularies,re-use of existing vocabularies,Usage of relevant vocabularies for that particular domain.,NULL,Zaveri,interoperability,quantitative
use-of-self-descriptive-formats,use of self-descriptive formats,Identifying objects and terms used to deﬁne these objects with globally unique identiﬁers.,NULL,Zaveri,interpretability,quantitative
detecting-the-interpretability-of-data,detecting the interpretability of data,"Detecting the use of appropriate language, symbols, units, datatypes and clear deﬁnitions.",NULL,Zaveri,interpretability,quantitative
invalid-usage-of-undefined-classes-and-properties,invalid usage of undefined classes and properties,Detection of invalid usage of undeﬁned classes and properties (i.e. those without any formal deﬁnition).,NULL,Zaveri,interpretability,quantitative
no-misinterpretation-of-missing-values,no misinterpretation of missing values,Detecting the use of blank nodes.,NULL,Zaveri,interpretability,quantitative
provision-of-the-data-in-different-serialization-formats,provision of the data in different serialization formats,Checking whether data is available in different serialization formats.,NULL,Zaveri,versatility,quantitative
provision-of-the-data-in-various-languages,provision of the data in various languages,Checking whether data is available in different languages.,NULL,Zaveri,versatility,quantitative
